ID,VISIT,microb_clean15_trnk_UNCLASSIFIED,microb_clean15_trnk_k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella,microb_clean15_trnk_k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola,microb_clean15_trnk_k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides,microb_clean15_trnk_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia,microb_clean15_trnk_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium,microb_clean15_trnk_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospira,microb_clean15_trnk_k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes,microb_clean15_trnk_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus,microb_clean15_trnk_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia,microb_clean15_trnk_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium,microb_clean15_trnk_k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium,microb_clean15_trnk_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Coprococcus,microb_clean15_trnk_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Fusicatenibacter,microb_clean15_trnk_k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter
3,1,0.000776000075784167,0.0,0.31298716465632637,0.1802326488615204,0.02941316060248925,5.505724537689056e-05,0.10457040081234528,0.012610607831551953,0.0,0.00815716593662882,0.08149941548923287,0.003510274262813383,0.0,0.03485123792357188,0.014016915828891991
3,3,0.08169893338089704,4.870447524136851e-06,0.20676003510251037,0.09991331756256801,0.043184305146343804,0.0,0.06986285631870186,0.06153200626146504,0.0,0.0012668670444188476,0.06349948221099791,0.035782055950127845,0.002367220015432619,0.01893316534521995,0.018283006890852722
5,1,0.0,0.060600808242148106,0.06840839248603026,0.13499794423753092,0.08928859986175895,0.0,0.003677402471147861,0.02021668609083854,0.0460654291167183,0.018588225310764196,0.02011437441879198,0.0507860094204977,0.0,0.0,0.003036951465248589
5,3,0.0,0.08185024011411744,0.08336827216627991,0.12752724224980377,0.09015624485455404,0.0,0.008650975516311613,0.021618402885706642,0.03152055005770931,0.036154563774614804,0.015156927567381743,0.11831865099158012,0.0,0.0,0.0012527780388150351
7,1,0.0,0.0,0.25758378860997233,0.14370899537946014,0.041463157933813104,0.09489689844012508,0.008758287459527763,0.00919191770215703,0.013465312640682767,0.0774121284231782,0.008237870969819759,0.0182443754234592,0.0,0.010561936434943377,0.015461596985336742
7,3,0.0,0.0,0.14306065671237697,0.11724349093947103,0.09272396200567394,0.0,0.0,0.004628638564685494,0.04811198846224628,0.12574191084634156,0.008265526134666266,0.04062324215765767,0.0,0.016809303255126015,0.0484673366985115
12,1,0.0,0.13166241531957626,0.01992924910412728,0.009810885862892372,0.059546079121704135,0.030945165397248224,0.017595831870767603,0.010759200269897918,0.004383032344914779,0.008607460534801971,0.017797372507991144,0.0005372076218676304,0.03811575856174018,0.005853105265708104,0.049202399667824095
12,3,0.0,0.2223291779283996,0.02251553192688087,0.00856629842771095,0.059381506785962976,0.042438819076439,0.015290950151309688,0.005876337310378331,0.0061084261713884366,0.013822593925940254,0.0236100955340419,0.0008690025592040007,0.01691908715463978,0.0062079502134745525,0.041353293979659145
13,1,0.0,0.0,0.0674258751090293,0.06028102611935067,0.12038335839454399,0.08845185022250589,0.008809486319303464,0.0022958753374048286,0.08298025272758525,0.008156412404558057,0.04027412677406728,0.03045908692253542,0.07068112804696045,0.0141730060912164,0.005333069699814375
13,3,0.0,0.0,0.03626668483862452,0.029104862384999333,0.09386881817302681,0.11448203155807675,0.029208482629829717,0.0011599655066844585,0.15819293909204019,0.034804777554692516,0.009379235565193824,0.0682552765903929,0.03433127111675869,0.021177913655474723,0.004146914266272965
15,1,0.1373601312389104,0.0,0.15693668631585717,0.1677878563767418,0.021524757788798685,0.009558021867772949,0.026069553415560383,0.12696955882700137,0.00039867537139269505,0.08244905370053096,0.023144149875162844,0.002114930533912887,0.007367465594868096,0.015671447097876347,0.003152194419778704
15,3,0.1499428572920594,0.0,0.1830776587907836,0.09424081023349412,0.03250529394019256,0.010686744250480999,0.03019752835314268,0.07980261725532953,0.0022241145083434794,0.057027483883671286,0.04569723054166514,0.008876460057257474,0.010986203202700285,0.017795809366844644,0.003842077821969548
16,1,0.21987834061221756,0.0,0.03343762062318134,0.04369929855928735,0.02463319191214073,0.03041108606786106,0.08892520572664966,0.17637201889654922,0.004360356853849475,0.05438118980310885,0.017732908474716518,0.014887613346068331,0.029443799622333403,0.01748230967503559,0.004442979566512579
16,3,0.16377391594578297,0.0,0.04598056765188835,0.07108102714543424,0.0133536003403622,0.022448960084436653,0.04980713771659498,0.2873210447804443,0.008660176260796073,0.03128929877480471,0.018637947231505535,0.005765532837513159,0.0211689201145019,0.012733821457758457,0.006043806028597274
17,1,0.0,0.04256622320077537,0.017572486506840717,0.03031983676853066,0.04610125428177116,0.05770384632921949,0.0412585032746849,0.011943513182736851,0.022668588118450513,0.03163872948647735,0.015853285741937298,0.0028411101165201403,0.07942939042153534,0.03962506123646167,0.0027076405489404017
17,3,0.0,0.023911306490629055,0.02801052285631151,0.02070537865653798,0.018153024988812504,0.03621308512085888,0.023696570765141083,0.04778282845425635,0.02384583828163882,0.009872102314119903,0.021337096513132994,0.015498339474419219,0.018098736735511375,0.01375124477727364,0.010784225545836166
19,1,0.0,0.0,0.05775002617553811,0.029344462940818924,0.05509908032083312,0.12261999988131737,0.043718328478915075,0.020547369979489027,0.0057809468031596485,0.04760990934966082,0.02856005171340898,0.03288029788114423,0.023717300567292543,0.030614466860360606,0.004363997787676706
19,3,0.0,0.0,0.0334496255734151,0.05321173754552101,0.036676966319792656,0.11419392940038892,0.014119540411888327,0.016009808415199056,0.03036987724209354,0.01644354323875026,0.029892236438025337,0.029683557441380473,0.04656053408962805,0.014387798919852587,0.003939582155725368
20,1,0.0,0.0,0.06883798703231811,0.06537126606262891,0.14015203178528018,0.133108816352548,0.10826648441131334,0.027363820077541904,0.0071232690286146556,0.027080130147133494,0.035801268949561725,0.01954498536770367,0.019871804172893744,0.0601694834691826,0.015654280540822074
20,3,0.0,2.9468465322555996e-05,0.05037196645784622,0.06722491137333912,0.07558108192917269,0.08540685390238921,0.07706033854338482,0.06689341628220212,0.005721106421188653,0.0033145486115022374,0.0166927289931078,0.00022126492733659793,0.01878368255643866,0.022238935546733573,0.010285600722208727
