,Richness,Shannon,Simpson,,
CD_003_V1,69,16.7941566,7.885213494,,Description of the Alpha Diversity Dataset
CD_003_V3,83,27.8928106,14.49484927,,
CD_005_V1,121,41.28923011,28.00648888,,"This dataset provides alpha diversity metrics for microbiome samples from the CoDiet study, capturing different aspects of microbial diversity within individual samples. The values were generated using Hill numbers (also known as Hill diversity indices) to quantify species richness and diversity at varying levels of sensitivity to species abundance."
CD_005_V3,128,41.80487734,26.59522764,,
CD_007_V1,133,30.93302706,11.61920339,,Understanding the Data Structure
CD_007_V3,93,31.17100728,17.71069669,,
CD_012_V1,234,68.58283187,36.14784975,,Columns:
CD_012_V3,227,62.43889611,22.16983929,,
CD_013_V1,202,62.91501436,38.44327261,,"Richness: The total number of distinct microbial species detected in each sample (q = 0, species count)."
CD_013_V3,214,64.55138049,39.80620544,,"Shannon: The exponential Shannon index (q = 1), which accounts for both species richness and their evenness in the community. This metric gives more weight to abundant species than rare ones."
CD_015_V1,134,31.08396514,15.02261739,,"Simpson: The inverse Simpson index (q = 2), which emphasizes dominant species and reduces the influence of rare taxa, providing insight into community stability."
CD_015_V3,117,32.36844083,14.55050234,,
CD_016_V1,132,30.44982003,13.00091822,,Rows:
CD_016_V3,130,30.08080337,13.5211569,,
CD_017_V1,335,101.3479312,59.35794354,,"Each row corresponds to a microbiome sample, denoted by a unique sample identifier"
CD_017_V3,337,112.4131791,60.52402611,,
CD_019_V1,352,110.8920699,63.10266353,,
CD_019_V3,339,121.764845,71.61516983,,
CD_020_V1,212,56.62793157,30.64840395,,
CD_020_V3,288,78.40151011,42.54681515,,
CD_021_V3,178,56.00706066,33.10642574,,
CD_023_V1,109,21.60755118,7.503817562,,
CD_024_V1,372,105.1189765,54.80746326,,
CD_024_V3,108,19.86494194,9.706838587,,
CD_025_V1,170,43.92532384,23.35778685,,
CD_025_V3,160,36.0051384,15.34457778,,
CD_026_V1,385,92.98754485,36.26461883,,
CD_026_V3,381,107.9591045,38.3137267,,
CD_027_V1,287,108.3284255,67.70920066,,
CD_027_V3,351,115.0262027,57.9358115,,
CD_028_V1,129,39.58703283,23.97629811,,
CD_028_V3,207,49.96931253,29.96844203,,
CD_029_V1,310,48.64670533,18.60303601,,
CD_029_V3,405,86.95647898,37.11109485,,
CD_030_V1,180,46.01635843,25.15652752,,
CD_030_V3,146,35.98650671,18.85856558,,
CD_032_V1,133,15.11088002,6.085002318,,
CD_032_V3,193,47.92833276,28.54903788,,
CD_033_V1,158,18.71021259,6.709247141,,
CD_033_V3,140,30.09931937,14.87650544,,
CD_035_V1,275,84.1912714,42.83430207,,
CD_035_V3,260,63.67558325,21.59308087,,
CD_036_V1,234,47.87326947,15.59859616,,
CD_036_V3,258,88.62977927,46.80323799,,
CD_037_V1,134,28.86528233,8.052481913,,
CD_037_V3,119,25.5116549,7.97501626,,
CD_038_V1,74,21.23216263,10.08110571,,
CD_038_V3,73,17.42464661,7.508135823,,
CD_040_V1,112,21.22416929,8.317265912,,
CD_040_V3,179,21.9202422,6.712562333,,
CD_041_V1,210,63.0203957,34.48954525,,
CD_041_V3,203,52.45974962,31.91563239,,
CD_042_V3,109,19.00804364,6.156607658,,
CD_043_V1,73,9.007393455,6.106673909,,
CD_043_V3,130,12.09353273,5.07098619,,
CD_044_V1,199,75.14511141,53.62425827,,
CD_044_V3,234,87.38699771,48.9723805,,
CD_046_V1,127,25.46985568,9.524783158,,
CD_046_V3,125,31.12349149,13.10900298,,
CD_047_V1,200,13.37806709,3.691345442,,
CD_047_V3,327,89.11816098,37.32258862,,
CD_048_V3,140,38.03311649,15.78413714,,
CD_049_V3,110,7.838497663,3.054950728,,
CD_050_V1,192,46.48121512,26.50021654,,
CD_050_V3,218,49.93193664,25.83423286,,
CD_051_V1,346,128.5886771,79.66760797,,
CD_051_V3,296,97.41380912,51.13962729,,
CD_053_V1,114,23.68658032,9.118836924,,
CD_054_V1,286,107.226132,57.02738806,,
CD_054_V3,306,115.6585838,68.88049452,,
CD_055_V1,391,136.8581169,68.9842413,,
CD_055_V3,399,119.0671578,45.9388398,,
CD_056_V1,149,20.15730455,8.046372575,,
CD_056_V3,101,18.28276141,7.350408577,,
CD_057_V1,126,20.20226887,8.05622299,,
CD_060_V1,326,111.6443626,61.62235247,,
CD_060_V3,265,76.29961485,32.49415368,,
CD_061_V1,102,28.40956261,14.46405321,,
CD_061_V3,106,15.20152602,6.187884078,,
CD_062_V1,196,51.05411435,26.63337517,,
CD_062_V3,219,67.66972473,40.21866881,,
CD_063_V1,212,53.1154967,29.01711249,,
CD_063_V3,202,43.87357902,17.39383738,,
CD_064_V1,1,1,1,,
CD_064_V3,187,39.74105817,16.49485908,,
CD_065_V1,151,15.86682148,5.568582448,,
CD_065_V3,114,10.60597245,4.748741363,,
CD_066_V1,242,73.41342692,43.64486673,,
CD_066_V3,241,76.20932791,44.85059921,,
CD_067_V1,123,14.73897879,5.265650663,,
CD_073_V1,186,56.9373187,35.51242123,,
CD_073_V3,181,44.08772715,24.56554054,,
CD_074_V1,89,22.12372073,11.7678021,,
CD_074_V3,102,25.8355487,10.39062144,,
CD_075_V1,274,81.95737195,41.41848391,,
CD_075_V3,240,31.70986118,14.12843915,,
CD_076_V1,199,44.01918436,18.40504719,,
CD_076_V3,249,58.35964895,24.67431383,,
CD_078_V1,113,9.14796524,4.031144135,,
CD_078_V3,96,7.488068016,3.427510417,,
CD_079_V1,87,26.5597006,16.31993657,,
CD_079_V3,101,32.1745989,19.60379312,,
CD_080_V1,185,54.30137353,31.27111525,,
CD_080_V3,218,55.33236885,27.17014351,,
CD_082_V1,250,43.80064306,21.51964637,,
