sample_id,n_of_reads,Site,,
CD_003_V1,70451132,Teagasc,,Dataset description
CD_003_V3,176970902,Teagasc,,"sample_id: sample identifiers  e.g.,CD_005_V3)"
CD_005_V1,26503813,Trento,,
CD_005_V3,62933894,Trento,,n_of_reads: Number of sequencing reads per sample (integer values)
CD_007_V1,88467648,Trento,,
CD_007_V3,40927669,Trento,,"Site: Study location (either ""Teagasc"" or ""Trento"")"
CD_012_V1,90713376,Trento,,
CD_012_V3,55301557,Trento,,
CD_013_V1,44884847,Trento,,
CD_013_V3,39788356,Trento,,
CD_015_V1,87778773,Teagasc,,
CD_015_V3,65216912,Teagasc,,
CD_016_V1,46630136,Teagasc,,
CD_016_V3,53695140,Teagasc,,
CD_017_V1,64625828,Trento,,
CD_017_V3,63733335,Trento,,
CD_019_V1,82525882,Trento,,
CD_019_V3,23045826,Trento,,
CD_020_V1,30569691,Trento,,
CD_020_V3,41243540,Trento,,
CD_021_V3,24847395,Trento,,
CD_023_V1,51336375,Teagasc,,
CD_024_V1,57379499,Trento,,
CD_024_V3,20523556,Trento,,
CD_025_V1,54988922,Trento,,
CD_025_V3,58982860,Trento,,
CD_026_V1,86978407,Trento,,
CD_026_V3,44898639,Trento,,
CD_027_V1,21035202,Trento,,
CD_027_V3,135554692,Trento,,
CD_028_V1,8936213,Trento,,
CD_028_V3,269015124,Trento,,
CD_029_V1,59177164,Trento,,
CD_029_V3,412504054,Trento,,
CD_030_V1,52021899,Trento,,
CD_030_V3,36108531,Trento,,
CD_032_V1,23922551,Trento,,
CD_032_V3,76530749,Trento,,
CD_033_V1,75066342,Trento,,
CD_033_V3,52373634,Trento,,
CD_035_V1,31882768,Trento,,
CD_035_V3,22608084,Trento,,
CD_036_V1,45148232,Trento,,
CD_036_V3,66024500,Trento,,
CD_037_V1,68484250,Teagasc,,
CD_037_V3,44979346,Teagasc,,
CD_038_V1,117680926,Teagasc,,
CD_038_V3,73683656,Teagasc,,
CD_040_V1,25450354,Teagasc,,
CD_040_V3,57680790,Teagasc,,
CD_041_V1,53629637,Trento,,
CD_041_V3,78001564,Trento,,
CD_042_V3,80834834,Teagasc,,
CD_043_V1,55577925,Teagasc,,
CD_043_V3,122317791,Teagasc,,
CD_044_V1,40988565,Trento,,
CD_044_V3,31850904,Trento,,
CD_046_V1,81133134,Teagasc,,
CD_046_V3,84607561,Teagasc,,
CD_047_V1,16593666,Trento,,
CD_047_V3,37869135,Trento,,
CD_048_V3,70351207,Teagasc,,
CD_049_V3,48246472,Teagasc,,
CD_050_V1,113789186,Trento,,
CD_050_V3,43993029,Trento,,
CD_051_V1,33194593,Trento,,
CD_051_V3,24972386,Trento,,
CD_053_V1,81020589,Teagasc,,
CD_054_V1,22608468,Trento,,
CD_054_V3,30410489,Trento,,
CD_055_V1,56918573,Trento,,
CD_055_V3,72873165,Trento,,
CD_056_V1,70735049,Trento,,
CD_056_V3,7459202,Trento,,
CD_057_V1,59662044,Teagasc,,
CD_060_V1,29568751,Trento,,
CD_060_V3,40883193,Trento,,
CD_061_V1,78545792,Teagasc,,
CD_061_V3,151876004,Teagasc,,
CD_062_V1,25659780,Trento,,
CD_062_V3,31245586,Trento,,
CD_063_V1,77962954,Trento,,
CD_063_V3,66454306,Trento,,
CD_064_V1,2406,Trento,,
CD_064_V3,61011742,Trento,,
CD_065_V1,108390360,Teagasc,,
CD_065_V3,72820448,Teagasc,,
CD_066_V1,63443073,Trento,,
CD_066_V3,32224205,Trento,,
CD_067_V1,102660769,Teagasc,,
CD_073_V1,59264487,Trento,,
CD_073_V3,40392468,Trento,,
CD_074_V1,81994955,Teagasc,,
CD_074_V3,61691877,Teagasc,,
CD_075_V1,22529343,Trento,,
CD_075_V3,42932631,Trento,,
CD_076_V1,20462749,Trento,,
CD_076_V3,31506080,Trento,,
CD_078_V1,51651063,Teagasc,,
CD_078_V3,50373258,Teagasc,,
CD_079_V1,76764973,Teagasc,,
CD_079_V3,70301770,Teagasc,,
CD_080_V1,25455434,Trento,,
CD_080_V3,102028535,Trento,,
CD_082_V1,138295317,Trento,,
CD_082_V3,60488867,Trento,,
