abbr;column_name;type
SERIALNO;User ID;C
PID;patient;C
VST;visit;C
MEAL;Meal ID;N
FOOD;Food ID;N
NTBL;Nutrient table code;N
FGRC;Food group code;N
RDYM;Ready meal;N
SVSZ;Serving size (g/ml);N
LEFT;Leftovers (g/ml);N
PRSZ;Portion size (g/ml);N
RSON;Reasonable amount;N
WATR;Water;N
TNIT;Total nitrogen;N
NCVF;Nitrogen conversion factor;N
FAT;Fat;N
CARB;Carbohydrate;N
KCAL;Energy (kcal);N
KJ;Energy (kJ);N
ALC;Alcohol;N
FIBR;Englyst fibre;N
STCH;Starch;N
TSUG;Total sugars;N
AOAC;AOAC;N
NMXS;Non-milk extrinsic sugars;N
IMLS;Intrinsic and milk sugars;N
GLUC;Glucose;N
FRUC;Fructose;N
MALT;Maltose;N
LACT;Lactose;N
SUCR;Sucrose;N
OTSU;Other sugars (UK);N
FSTB;FS Table sugar;N
FSOA;FS Other Added Sugar;N
FSHN;FS Honey;N
FSFJ;FS Fruit Juice;N
FSDR;FS Dried Fruit;N
FSFP;FS Fruit Puree;N
FSSF;FS Stewed Fruit;N
FSVP;FS Vegetable Puree;N
SFAT;Satd FA;N
CIS1;Cis-Mon FA;N
CIS3;Cis-n3 FA;N
CIS6;Cis-n6 FA;N
TRFA;Trans FA;N
CHOL;Cholesterol;N
RETL;Retinol;N
TCAR;Total carotene;N
ACAR;Alpha-carotene;N
BCAR;Beta-carotene;N
BCRY;Beta cryptoxanthin;N
VITA;Vitamin A;N
VITD;Vitamin D;N
THIA;Thiamin;N
RIBF;Riboflavin;N
NIAC;Niacin;N
TRYP;Tryptophan/60;N
NIQE;Niacin equivalent;N
VITC;Vitamin C;N
VITE;Vitamin E;N
B6;Vitamin B6;N
B12;Vitamin B12;N
FOL;Folate;N
PANT;Pantothenic acid;N
BIOT;Biotin;N
SOD;Sodium;N
POT;Potassium;N
CAL;Calcium;N
MG;Magnesium;N
PHOS;Phosphorus;N
IRON;Iron;N
HAIR;Haem iron;N
NIRN;Non-haem iron;N
COPP;Copper;N
ZN;Zinc;N
CL;Chloride;N
IOD;Iodine;N
MN;Manganese;N
SE;Selenium;N
TFS;Total FS;N
FRUT;Fruit;N
DRFR;Dried fruit;N
FJUI;Fruit juice;N
SMFR;Smoothie fruit;N
TOMA;Tomatoes;N
TPUR;Tomato puree;N
BRAS;Brassicaceae;N
YRG;Yellow Red Green;N
BEAN;Beans;N
NUT;Nuts;N
OVEG;Other Vegetables;N
BEEF;Beef;N
LAMB;Lamb;N
PORK;Pork;N
PRRM;Processed Red Meat;N
ORRM;Other Red Meat;N
BURG;Burgers;N
SAUS;Sausages;N
OFFL;Offal;N
POUL;Poultry;N
PRPL;Processed Poultry;N
GMB;Game Birds;N
WFIS;White Fish;N
OFIS;Oily Fish;N
CTUN;Canned Tuna;N
SHEL;Shellfish;N
CCHE;Cottage Cheese;N
CHEC;Cheddar Cheese;N
OTCH;Other Cheese;N
WKHP;Hours worked per week;N
DOW;Decades of working;N
SOW;Status of worker;C
COW;Class of worker;C
PWGTP;Weight (kg);N
PHGTP;Height (cm);N
DOBP;Date of Birth;C
POBP;Place of Birth;C
POR;Place of Residence;C
CIOR;City of Residence;C
COR;Country of Residence;C
SEX;Sex;C
AGEP;age;N
ETH;Ethnicity;C
RAC1P;Ethnicity_Is White or Not;C
MAR;Marital status;C
PINCP;Salary (annual net salary);N
WGTC;Have you lost or gained weight in the past 3 months?;C
WGTCN;Have you lost or gained weight in the past 3 months? If yes, how much?;N
LIV;Living Status;C
EMP;Employment Status;C
SFTP;If you answered shift worker, please describe your shifts patterns;C
EDU;Education Level;C
SMK;Smoking status;C
DIET;Are you following a specific diet?;C
ODIET;If you filled in other for diet, please describe your diet;C
MED;Medical history. Did you have any of the following conditions?;C
OMED;If you answered other in the above question please describe here your medical history;C
SLPWK;How many hours per day do you sleep during workdays?;N
SLPFD;How many hours per day do you sleep during free days?;N
NAP;Do you take naps during the day?;C
NAPD;If you answered yes in the above question, please mention how many naps and how long they are.;N
SLPQ;Rate your sleep quality (1: very bad, 5: very good);C
VIG;How much time did you usually spend doing vigorous physical activities on one of those days? Please answer in hours and minutes per day.;C
PGT;Pregnancy test done on women of child-bearing age? Report result;C
BMI25;BMI (>25 kg/m2);C
CSM;Current smokers;C
ABX;Have you used antibiotics in the past 3 months?;C
FALL;Do you have any food allergies?;C
RES;Have you taken part in any research studies in the past 3 months?;C
PREGP;Are you pregnant, breast feeding, planning to get pregnant or your partner is planning to get pregnant, in the next 12 months?;C
NIT;Nitrogen conversion factor;C
NMS;Non-milk extrinsic sugars;C
IMS;Intrinsic and milk sugars;C
FSUG;FS Other Added Sugar;C
TPLN;protein;N
VOLT;Volunteer ID;C
WKTM;Working time;C
CMPL;Complete?;C
AE;ae;N
AI;ai;N
ANAC;ans-activity;N
ANBL;ans-balance;N
APEN;apen;N
ALFT;arms/legs-fat;N
BFA;bfm-of-arm-&-leg;N
BFMC;bfm-control;N
BFLA;bfm-of-left-arm;N
BFLL;bfm-of-left-leg;N
BFRA;bfm-of-right-arm;N
BFRL;bfm-of-right-leg;N
BFTR;bfm-of-trunk;N
BFM;bfm-(body-fat-mass);N
BMC;bmc-(bone-mineral-content);N
CONI;conicity-index;N
ECMB;ecm/bcm;N
ECTB;ectopic-beat;N
ECLA;ecw-of-left-arm;N
ECLL;ecw-of-left-leg;N
ECRA;ecw-of-right-arm;N
ECRL;ecw-of-right-leg;N
ECTR;ecw-of-trunk;N
ECTLA;ecw/tbw-of-left-arm;N
ECTLL;ecw/tbw-of-left-leg;N
ECTRA;ecw/tbw-of-right-arm;N
ECTRL;ecw/tbw-of-right-leg;N
ECTRT;ecw/tbw-of-trunk;N
ECTW;ecw/tbw;N
FATI;fatigue-index;N
FFMC;ffm-control;N
FFM;ffm-(fat-free-mass);N
HGT;height;N
HFLN;hf(ln);N
HR;hr;N
ICLA;icw-of-left-arm;N
ICLL;icw-of-left-leg;N
ICRA;icw-of-right-arm;N
ICRL;icw-of-right-leg;N
ICTR;icw-of-trunk;N
INBS;inbody-score;N
INBT;inbody-type;N
LFLN;lf(ln);N
LFHF;lf/hf;N
LCID;local-id;N
MHRT;mean-hrt;N
MINR;minerals;N
OBES;obesity-degree;N
PBF;pbf-(percent-body-fat);N
PE;pe;N
PROT;Protein;N
PSI;psi;N
RHT;r/ht;N
RMSSD;rmssd;N
SDNN;sdnn;N
SMWT;smm/wt;N
SRD;srd;N
STIN;stress-index;N
STRE;stress-resilience;N
TBLA;tbw-of-left-arm;N
TBLL;tbw-of-left-leg;N
TBRA;tbw-of-right-arm;N
TBRL;tbw-of-right-leg;N
TBTR;tbw-of-trunk;N
TBFF;tbw/ffm;N
TBWT;tbw/wt;N
TP;tp(ln);N
TSRD;tsrd;N
VLFL;vlf(ln);N
WCTR;weight-control;N
WGHT;weight;N
XCHT;xc/ht;N
ABSI;absi(a-body-shaped-index);N
AC;ac-(arm-circumference);N
AFLL;af-ll(abdominal-fat-llimit);N
AFUL;af-ul(abdominal-fat-ulimit);N
AMC;amc-(arm-muscle-circumference);N
BAI;bai(body-adiposity-index);N
