idx,A,S,E,O,R,T
0,old,F,high,emp,big,train
1,young,M,high,emp,big,car
2,young,M,uni,emp,big,car
3,adult,M,high,emp,small,train
4,young,M,high,emp,big,car
5,adult,F,uni,emp,big,other
6,old,F,high,emp,big,car
7,adult,F,high,emp,big,train
8,young,M,high,emp,big,car
9,adult,M,uni,emp,big,train
10,adult,M,high,emp,small,train
11,adult,F,uni,emp,small,other
12,young,M,uni,emp,big,other
13,adult,M,high,emp,big,other
14,adult,M,high,emp,big,car
15,adult,M,high,emp,big,car
16,adult,M,high,emp,small,car
17,old,M,high,emp,small,car
18,old,F,uni,emp,big,car
19,adult,M,high,emp,big,other
20,old,F,high,emp,small,car
21,young,M,high,emp,big,car
22,adult,M,uni,emp,big,train
23,adult,M,high,emp,big,other
24,adult,M,high,emp,big,other
25,young,M,high,emp,big,other
26,old,M,high,emp,big,other
27,adult,M,uni,emp,big,car
28,old,M,uni,emp,big,car
29,adult,M,uni,emp,big,car
30,adult,M,high,emp,small,train
31,adult,M,high,emp,big,car
32,old,M,high,emp,small,train
33,young,F,uni,emp,big,car
34,adult,M,high,emp,big,other
35,young,F,uni,emp,small,train
36,adult,M,high,emp,small,train
37,adult,M,high,emp,big,train
38,adult,F,uni,emp,big,car
39,adult,M,high,emp,small,car
40,adult,M,high,emp,small,train
41,adult,M,high,emp,small,train
42,adult,M,uni,emp,big,other
43,young,F,high,emp,big,other
44,young,F,high,emp,big,car
45,adult,F,high,emp,big,car
46,young,M,uni,emp,big,car
47,old,M,high,emp,big,car
48,adult,F,uni,emp,big,car
49,old,F,high,emp,big,car
50,adult,F,high,self,big,other
51,old,M,high,emp,big,car
52,adult,M,high,emp,big,train
53,adult,M,high,emp,small,train
54,adult,M,uni,emp,big,car
55,young,F,high,self,big,train
56,young,F,uni,emp,big,other
57,young,M,high,emp,small,train
58,adult,F,uni,emp,big,car
59,old,F,high,emp,small,train
60,adult,M,high,emp,big,car
61,adult,M,high,emp,small,car
62,old,F,high,emp,big,car
63,adult,F,high,emp,big,car
64,old,F,high,emp,small,train
65,young,M,high,emp,big,train
66,adult,F,high,self,big,train
67,old,F,uni,emp,small,train
68,young,M,high,emp,big,car
69,adult,M,high,emp,big,car
70,adult,F,uni,emp,big,train
71,adult,F,high,emp,big,car
72,old,F,high,emp,small,other
73,adult,M,high,emp,small,other
74,old,M,uni,emp,big,car
75,young,M,high,emp,big,train
76,old,M,high,emp,big,car
77,young,F,high,emp,big,car
78,young,M,high,emp,big,car
79,young,M,high,emp,big,train
80,adult,M,uni,emp,big,car
81,young,M,high,emp,big,car
82,adult,M,high,emp,big,car
83,old,M,uni,emp,small,train
84,adult,F,high,emp,big,train
85,young,M,high,emp,big,car
86,adult,M,high,emp,big,other
87,old,M,high,emp,big,car
88,adult,F,high,emp,big,other
89,adult,M,high,emp,big,car
90,adult,M,high,emp,small,car
91,adult,M,uni,emp,big,car
92,adult,M,high,emp,big,car
93,adult,M,uni,emp,big,car
94,adult,M,high,emp,big,car
95,young,M,high,emp,big,other
96,adult,M,high,emp,big,train
97,adult,F,high,self,big,car
98,adult,F,high,emp,big,other
99,young,M,high,emp,big,car
100,old,M,high,emp,big,car
101,adult,F,high,emp,small,car
102,young,F,uni,emp,big,car
103,adult,F,uni,emp,big,other
104,young,M,high,emp,small,train
105,adult,M,high,emp,big,other
106,adult,F,high,emp,big,other
107,old,F,high,emp,big,train
108,young,M,high,emp,small,car
