VAL;ST;Len;Type;Min;Max;Description
VAL;SERIALNO;7;C;cd_003_v1;cd_003_v1;User ID_cd_003_v1
VAL;SERIALNO;7;C;cd_003_v2;cd_003_v2;User ID_cd_003_v2
VAL;SERIALNO;7;C;cd_003_v3;cd_003_v3;User ID_cd_003_v3
VAL;SERIALNO;7;C;cd_015_v1;cd_015_v1;User ID_cd_015_v1
VAL;SERIALNO;7;C;cd_015_v2;cd_015_v2;User ID_cd_015_v2
VAL;SERIALNO;7;C;cd_015_v3;cd_015_v3;User ID_cd_015_v3
VAL;SERIALNO;7;C;cd_034_v1;cd_034_v1;User ID_cd_034_v1
VAL;SERIALNO;7;C;cd_034_v2;cd_034_v2;User ID_cd_034_v2
VAL;SERIALNO;7;C;cd_034_v3;cd_034_v3;User ID_cd_034_v3
VAL;SERIALNO;7;C;cd_038_v1;cd_038_v1;User ID_cd_038_v1
VAL;SERIALNO;7;C;cd_038_v2;cd_038_v2;User ID_cd_038_v2
VAL;SERIALNO;7;C;cd_038_v3;cd_038_v3;User ID_cd_038_v3
VAL;SERIALNO;7;C;cd_042_v1;cd_042_v1;User ID_cd_042_v1
VAL;SERIALNO;7;C;cd_042_v2;cd_042_v2;User ID_cd_042_v2
VAL;SERIALNO;7;C;cd_042_v3;cd_042_v3;User ID_cd_042_v3
VAL;SERIALNO;7;C;cd_043_v1;cd_043_v1;User ID_cd_043_v1
VAL;SERIALNO;7;C;cd_043_v2;cd_043_v2;User ID_cd_043_v2
VAL;SERIALNO;7;C;cd_043_v3;cd_043_v3;User ID_cd_043_v3
VAL;SERIALNO;7;C;cd_046_v2;cd_046_v2;User ID_cd_046_v2
VAL;SERIALNO;7;C;cd_046_v3;cd_046_v3;User ID_cd_046_v3
VAL;SERIALNO;7;C;cd_049_v1;cd_049_v1;User ID_cd_049_v1
VAL;SERIALNO;7;C;cd_049_v2;cd_049_v2;User ID_cd_049_v2
VAL;SERIALNO;7;C;cd_049_v3;cd_049_v3;User ID_cd_049_v3
VAL;SERIALNO;7;C;cd_053_v1;cd_053_v1;User ID_cd_053_v1
VAL;SERIALNO;7;C;cd_053_v2;cd_053_v2;User ID_cd_053_v2
